Date,High price,Low price,Closing price,Average price,Total volume,Turnover,
2019-02-20,1591.36,1578.74,1588.61,,1,,
2019-02-19,1591.96,1581.73,1587.22,,1,,
2019-02-18,1588.82,1576.66,1583.86,,1,,
2019-02-15,1584.46,1555.98,1583.82,,1,,
2019-02-14,1570.62,1557.58,1562.36,,1,,
2019-02-13,1562.23,1549.57,1558.58,,1,,
2019-02-12,1551.99,1542.79,1549.41,,1,,
2019-02-11,1546.16,1528.20,1542.33,,1,,
2019-02-08,1536.03,1524.29,1527.17,,1,,
2019-02-07,1557.79,1529.28,1529.28,,1,,
2019-02-06,1554.05,1537.64,1551.15,,1,,
2019-02-05,1544.35,1526.35,1542.49,,1,,
2019-02-04,1529.38,1520.22,1527.19,,1,,
2019-02-01,1528.29,1514.93,1525.69,,1,,
2019-01-31,1526.13,1507.25,1515.42,,1,,
2019-01-30,1510.93,1497.45,1509.50,,1,,
2019-01-29,1506.00,1485.52,1502.72,,1,,
2019-01-28,1505.58,1489.44,1491.01,,1,,
2019-01-25,1505.72,1487.70,1501.12,,1,,
2019-01-24,1489.70,1478.19,1488.40,,1,,
2019-01-23,1486.80,1473.46,1478.72,,1,,
2019-01-22,1496.89,1480.28,1486.32,,1,,
2019-01-21,1501.28,1487.67,1493.76,,1,,
2019-01-18,1499.79,1474.62,1499.79,,1,,
2019-01-17,1476.64,1458.79,1473.89,,1,,
2019-01-16,1472.81,1455.44,1468.85,,1,,
2019-01-15,1471.93,1451.23,1455.48,,1,,
2019-01-14,1462.62,1454.65,1458.13,,1,,
2019-01-11,1478.64,1460.72,1465.43,,1,,
2019-01-10,1472.74,1454.90,1470.69,,1,,
2019-01-09,1475.95,1458.05,1470.51,,1,,
2019-01-08,1464.02,1440.05,1457.47,,1,,
2019-01-07,1446.15,1433.62,1439.93,,1,,
2019-01-04,1437.86,1395.28,1435.29,,1,,
2019-01-03,1407.86,1390.65,1393.52,,1,,
2019-01-02,1410.49,1378.20,1405.85,,1,,
2018-12-28,1416.10,1387.52,1408.74,,1,,
2018-12-27,1420.50,1378.42,1384.59,,1,,
2018-12-21,1418.47,1397.99,1408.34,,1,,
2018-12-20,1446.83,1419.01,1419.01,,1,,
2018-12-19,1455.84,1444.72,1450.11,,1,,
2018-12-18,1457.15,1443.08,1447.79,,1,,
2018-12-17,1471.68,1450.36,1451.95,,1,,
2018-12-14,1481.72,1458.65,1471.67,,1,,
2018-12-13,1497.31,1476.80,1478.75,,1,,
2018-12-12,1494.21,1465.54,1494.21,,1,,
2018-12-11,1473.66,1436.67,1465.29,,1,,
2018-12-10,1453.23,1435.55,1435.55,,1,,
2018-12-07,1468.28,1438.91,1454.03,,1,,
2018-12-06,1477.90,1436.66,1436.66,,1,,
2018-12-05,1502.37,1478.91,1478.96,,1,,
2018-12-04,1528.72,1506.43,1506.43,,1,,
2018-12-03,1544.39,1523.88,1529.78,,1,,
2018-11-30,1519.18,1509.22,1514.63,,1,,
2018-11-29,1518.62,1501.65,1515.38,,1,,
2018-11-28,1505.74,1493.12,1500.45,,1,,
2018-11-27,1505.07,1490.76,1496.41,,1,,
2018-11-26,1498.25,1480.12,1498.25,,1,,
2018-11-23,1477.65,1465.04,1477.35,,1,,
2018-11-22,1478.35,1465.22,1466.39,,1,,
2018-11-21,1478.44,1456.85,1478.44,,1,,
2018-11-20,1480.30,1447.97,1456.85,,1,,
2018-11-19,1509.14,1481.90,1482.49,,1,,
2018-11-16,1505.74,1489.29,1499.43,,1,,
2018-11-15,1510.07,1482.52,1489.79,,1,,
2018-11-14,1518.68,1496.86,1502.45,,1,,
2018-11-13,1527.29,1505.20,1520.26,,1,,
2018-11-12,1537.99,1513.48,1514.59,,1,,
2018-11-09,1535.25,1528.58,1530.51,,1,,
2018-11-08,1549.74,1534.95,1536.79,,1,,
2018-11-07,1547.42,1535.06,1538.69,,1,,
2018-11-06,1541.87,1529.40,1534.60,,1,,
2018-11-05,1550.66,1534.69,1539.01,,1,,
2018-11-02,1551.79,1537.69,1551.39,,1,,
2018-11-01,1541.81,1525.08,1531.26,,1,,
2018-10-31,1544.98,1519.78,1538.22,,1,,
2018-10-30,1516.00,1495.87,1516.00,,1,,
2018-10-29,1517.72,1485.86,1503.14,,1,,
2018-10-26,1504.46,1473.79,1485.27,,1,,
2018-10-25,1511.33,1487.68,1506.02,,1,,
2018-10-24,1523.07,1500.24,1501.47,,1,,
2018-10-23,1523.27,1499.64,1508.88,,1,,
2018-10-22,1545.36,1523.46,1526.05,,1,,
2018-10-19,1546.92,1510.69,1531.66,,1,,
2018-10-18,1558.61,1542.42,1543.87,,1,,
2018-10-17,1562.78,1544.99,1548.27,,1,,
2018-10-16,1554.16,1526.67,1554.16,,1,,
2018-10-15,1539.82,1521.32,1536.10,,1,,
2018-10-12,1565.54,1536.46,1536.46,,1,,
2018-10-11,1591.56,1547.15,1550.41,,1,,
2018-10-10,1626.19,1591.93,1595.13,,1,,
2018-10-09,1625.77,1607.82,1624.49,,1,,
2018-10-08,1634.45,1620.82,1621.19,,1,,
2018-10-05,1649.61,1633.68,1634.86,,1,,
2018-10-04,1664.80,1643.56,1648.96,,1,,
2018-10-03,1677.33,1658.73,1665.14,,1,,
2018-10-02,1665.90,1650.57,1656.90,,1,,
2018-10-01,1670.35,1657.08,1667.45,,1,,
2018-09-28,1674.91,1654.20,1662.36,,1,,
2018-09-27,1676.89,1649.48,1676.37,,1,,
2018-09-26,1658.83,1648.27,1658.29,,1,,
2018-09-25,1658.90,1650.38,1656.71,,1,,
2018-09-24,1661.66,1652.84,1655.01,,1,,
2018-09-21,1663.34,1647.57,1662.32,,1,,
2018-09-20,1646.24,1629.62,1645.84,,1,,
2018-09-19,1637.91,1626.50,1630.50,,1,,
2018-09-18,1640.71,1616.04,1625.45,,1,,
2018-09-17,1644.79,1624.64,1640.60,,1,,
2018-09-14,1634.74,1622.84,1634.74,,1,,
2018-09-13,1628.87,1616.81,1621.85,,1,,
2018-09-12,1631.12,1614.30,1618.81,,1,,
2018-09-11,1625.86,1609.39,1620.39,,1,,
2018-09-10,1629.48,1613.46,1624.25,,1,,
2018-09-07,1634.80,1610.72,1618.20,,1,,
2018-09-06,1646.96,1627.75,1632.42,,1,,
2018-09-05,1645.29,1631.74,1631.74,,1,,
2018-09-04,1663.22,1638.51,1645.95,,1,,
2018-09-03,1664.47,1656.94,1660.14,,1,,
2018-08-31,1671.41,1658.16,1658.16,,1,,
2018-08-30,1678.05,1670.06,1672.56,,1,,
2018-08-29,1679.51,1669.77,1677.22,,1,,
2018-08-28,1671.44,1665.73,1671.15,,1,,
2018-08-27,1665.18,1647.38,1665.10,,1,,
2018-08-24,1648.43,1642.87,1646.87,,1,,
2018-08-23,1649.24,1642.24,1643.71,,1,,
2018-08-22,1645.40,1635.45,1643.46,,1,,
2018-08-21,1640.45,1630.75,1637.60,,1,,
2018-08-20,1632.65,1620.67,1630.92,,1,,
2018-08-17,1623.22,1608.93,1622.71,,1,,
2018-08-16,1612.52,1595.84,1611.33,,1,,
2018-08-15,1619.16,1592.05,1593.59,,1,,
2018-08-14,1621.61,1603.35,1608.56,,1,,
2018-08-13,1616.34,1607.81,1611.80,,1,,
2018-08-10,1627.44,1613.39,1616.82,,1,,
2018-08-09,1631.74,1618.72,1631.23,,1,,
2018-08-08,1624.10,1614.73,1622.63,,1,,
2018-08-07,1621.26,1610.52,1619.89,,1,,
2018-08-06,1616.29,1603.82,1608.48,,1,,
2018-08-03,1614.86,1599.41,1611.95,,1,,
2018-08-02,1611.26,1592.54,1598.06,,1,,
2018-08-01,1622.09,1611.48,1612.54,,1,,
2018-07-31,1619.11,1610.50,1615.60,,1,,
2018-07-30,1615.40,1606.65,1611.07,,1,,
2018-07-27,1615.39,1607.63,1612.76,,1,,
2018-07-26,1609.65,1595.02,1608.80,,1,,
2018-07-25,1605.28,1593.04,1593.27,,1,,
2018-07-24,1605.40,1582.32,1601.38,,1,,
2018-07-23,1584.94,1573.79,1580.50,,1,,
2018-07-20,1589.89,1569.50,1579.40,,1,,
2018-07-19,1589.81,1571.15,1584.34,,1,,
2018-07-18,1572.63,1557.97,1570.42,,1,,
2018-07-17,1566.75,1550.84,1556.61,,1,,
